id,account_no,account_holder_name,bank_code,bank_name,id_number,phone,status,created_at
1,90311860909,Tran Ngoc Phuc,VCB,Vietcombank,051460863137,0865085624,ACTIVE,2024-05-27 00:45:48
2,0904298565,Do Thanh Dung,TCB,Techcombank,077993114050,0379727545,ACTIVE,2021-12-15 03:20:21
3,2345999274,Dang Ngoc Giang,BIDV,BIDV,010454344709,0967855576,ACTIVE,2024-09-14 04:40:17
4,7639029640,Do Duc Dung,CTG,VietinBank,084559343367,0795806459,ACTIVE,2024-07-16 06:20:36
5,1879882351960,Ngo Thanh Uyen,VPB,VPBank,094590414389,0805055814,ACTIVE,2025-10-15 05:39:31
6,2251575380,Ngo Thi Oanh,MB,MB Bank,022879268223,0790289104,ACTIVE,2020-05-24 01:35:55
7,9293625840409,Pham Minh Mai,ACB,ACB,078574410644,0832608082,ACTIVE,2021-09-19 11:04:07
8,656654862026,Pham Ngoc Hai,STB,Sacombank,062699038826,0780004891,ACTIVE,2024-09-09 13:49:40
9,165116399319,Bui Minh Nhi,TPB,TPBank,073574652472,0308689397,ACTIVE,2022-07-20 18:52:42
10,51995290306,Ngo Thanh Quang,VIB,VIB,077627699644,0759741451,ACTIVE,2023-02-04 23:54:47
11,5854345920,Le Thi Khoa,VCB,Vietcombank,074355456603,0782024633,ACTIVE,2020-06-29 17:47:10
12,87353941173,Bui Thi Son,TCB,Techcombank,051609439255,0758758628,CLOSED,2021-08-28 15:48:27
13,11647896105,Pham Ngoc Mai,BIDV,BIDV,078895662770,0974339899,ACTIVE,2020-01-17 18:43:33
14,5043315999887,Nguyen Quoc Phuc,CTG,VietinBank,074900937292,0381593368,ACTIVE,2021-11-11 09:27:49
15,1160641668,Tran Minh Nam,VPB,VPBank,025640617343,0863119792,ACTIVE,2020-09-24 06:47:50
16,0887453518786,Pham Anh Nam,MB,MB Bank,037444230043,0777267950,ACTIVE,2024-05-12 10:07:02
17,5332557597,Hoang Anh Mai,ACB,ACB,030425699518,0869704220,ACTIVE,2022-11-05 04:55:14
18,2370240241,Do Hoang Xuan,STB,Sacombank,073928041087,0885928686,ACTIVE,2022-03-01 04:28:18
19,6968015988,Vo Thi An,TPB,TPBank,012438020082,0918425264,ACTIVE,2024-02-16 22:02:48
